device_id,body_dims_mm,body_lenght_mm,body_width_mm,body_height_mm,body_dims_inch,body_lenght_inch,body_width_inch,body_height_inch,body_weight_g,body_weight_oz
11706,146.7 x 71.9 x 10,146.7,71.9,10.0,5.78 x 2.83 x 0.39,5.78,2.83,0.39,172.0,6.07
10981,156.4 x 74.8 x 9.7,156.4,74.8,9.7,6.16 x 2.94 x 0.38,6.16,2.94,0.38,190.0,6.7
10980,137.6 x 65.7 x 9.8,137.6,65.7,9.8,5.42 x 2.59 x 0.39,5.42,2.59,0.39,134.0,4.73
10679,165.6 x 75.6 x 8.7,165.6,75.6,8.7,6.52 x 2.98 x 0.34,6.52,2.98,0.34,194.0,6.84
10680,165.6 x 75.6 x 8.8,165.6,75.6,8.8,6.52 x 2.98 x 0.35,6.52,2.98,0.35,190.0,6.7
10682,155.9 x 74.5 x 9.9,155.9,74.5,9.9,6.14 x 2.93 x 0.39,6.14,2.93,0.39,179.0,6.31
11659,165.2 x 75.5 x 8.9,165.2,75.5,8.9,6.50 x 2.97 x 0.35,6.5,2.97,0.35,190.0,6.7
10618,159.2 x 75.2 x 8.7,159.2,75.2,8.7,6.27 x 2.96 x 0.34,6.27,2.96,0.34,175.0,6.17
10490,165 x 75 x 9.1,165.0,75.0,9.1,6.50 x 2.95 x 0.36,6.5,2.95,0.36,186.0,6.56
10016,158.7 x 74.6 x 8.5,158.7,74.6,8.5,6.25 x 2.94 x 0.33,6.25,2.94,0.33,165.0,5.82
10017,158.7 x 74.6 x 8.5,158.7,74.6,8.5,6.25 x 2.94 x 0.33,6.25,2.94,0.33,165.0,5.82
10018,158.7 x 74.8 x 8.9,158.7,74.8,8.9,6.25 x 2.94 x 0.35,6.25,2.94,0.35,160.0,5.64
10019,146.1 x 71.6 x 9.9,146.1,71.6,9.9,5.75 x 2.82 x 0.39,5.75,2.82,0.39,168.0,5.93
10042,174.5 x 83.3 x 8.4,174.5,83.3,8.4,6.87 x 3.28 x 0.33,6.87,3.28,0.33,197.9,6.98
9842,164.9 x 75.8 x 8.4,164.9,75.8,8.4,6.49 x 2.98 x 0.33,6.49,2.98,0.33,178.0,6.28
9843,149.1 x 72.2 x 8.9,149.1,72.2,8.9,5.87 x 2.84 x 0.35,5.87,2.84,0.35,153.2,5.4
10108,209.5 x 125 x 8.3,209.5,125.0,8.3,8.25 x 4.92 x 0.33,8.25,4.92,0.33,279.0,9.84
9837,176 x 126 x 12,176.0,126.0,12.0,6.93 x 4.96 x 0.47,6.93,4.96,0.47,268.0,9.45
9510,146.4 x 68.8 x 8.3,146.4,68.8,8.3,5.76 x 2.71 x 0.33,5.76,2.71,0.33,130.0,4.59
9511,136.6 x 65.3 x 10,136.6,65.3,10.0,5.38 x 2.57 x 0.39,5.38,2.57,0.39,148.0,5.22
9985,137.6 x 65.7 x 9.8,137.6,65.7,9.8,5.42 x 2.59 x 0.39,5.42,2.59,0.39,134.0,4.73
9574,142.5 x 71.9 x 9.4,142.5,71.9,9.4,5.61 x 2.83 x 0.37,5.61,2.83,0.37,150.0,5.29
9291,162.1 x 75 x 8.6,162.1,75.0,8.6,6.38 x 2.95 x 0.34,6.38,2.95,0.34,175.0,6.17
9012,152.3 x 71.1 x 8.4,152.3,71.1,8.4,6.00 x 2.80 x 0.33,6.0,2.8,0.33,144.0,5.08
9004,162 x 76 x 8.1,162.0,76.0,8.1,6.38 x 2.99 x 0.32,6.38,2.99,0.32,155.0,5.47
9084,153.5 x 71.6 x 8.5,153.5,71.6,8.5,6.04 x 2.82 x 0.33,6.04,2.82,0.33,144.0,5.08
9085,147.1 x 68.8 x 8.5,147.1,68.8,8.5,5.79 x 2.71 x 0.33,5.79,2.71,0.33,145.0,5.11
9086,147.5 x 70.6 x 9.1,147.5,70.6,9.1,5.81 x 2.78 x 0.36,5.81,2.78,0.36,151.0,5.33
8989,161 x 76 x 7.9,161.0,76.0,7.9,6.34 x 2.99 x 0.31,6.34,2.99,0.31,169.0,5.96
9093,255 x 155 x 9.4,255.0,155.0,9.4,10.04 x 6.10 x 0.37,10.04,6.1,0.37,415.0,14.64
