Device_id,Communication Type
11706,Bluetooth
11706,Positioning
11706,Radio
11706,USB
11706,WLAN
10981,Bluetooth
10981,Positioning
10981,Radio
10981,USB
10981,WLAN
10980,Bluetooth
10980,Positioning
10980,Radio
10980,USB
10980,WLAN
NFC,NFC
10680,Bluetooth
10680,Positioning
10680,Radio
10680,USB
10680,WLAN
10682,Bluetooth
10682,Positioning
10682,Radio
10682,USB
10682,WLAN
11659,Bluetooth
11659,Positioning
11659,Radio
11659,USB
11659,WLAN
10618,Bluetooth
10618,Positioning
10618,Radio
10618,USB
10618,WLAN
10490,Bluetooth
10490,Positioning
10490,Radio
10490,USB
10490,WLAN
10016,Bluetooth
10016,Positioning
10016,Radio
10016,USB
10016,WLAN
10017,Bluetooth
10017,Positioning
10017,Radio
10017,USB
10017,WLAN
10018,Bluetooth
10018,Positioning
10018,Radio
10018,USB
10018,WLAN
10019,Bluetooth
10019,Positioning
10019,Radio
10019,USB
10019,WLAN
10042,Bluetooth
10042,Positioning
10042,Radio
10042,USB
10042,WLAN
9843,Bluetooth
9843,Positioning
9843,Radio
9843,USB
9843,WLAN
10108,Bluetooth
10108,Radio
10108,USB
10108,WLAN
9837,Bluetooth
9837,Radio
9837,USB
9837,WLAN
9510,Bluetooth
9510,Positioning
9510,Radio
9510,USB
9510,WLAN
9511,Bluetooth
9511,Positioning
9511,Radio
9511,USB
9511,WLAN
9985,Bluetooth
9985,Positioning
9985,Radio
9985,USB
9985,WLAN
9574,Bluetooth
9574,Positioning
9574,Radio
9574,USB
9574,WLAN
9291,Bluetooth
9291,Infrared port
9291,Positioning
9291,Radio
9291,USB
9291,WLAN
8989,Bluetooth
8989,Positioning
8989,Radio
8989,USB
8989,WLAN
9093,Bluetooth
9093,Positioning
9093,Radio
9093,USB
9093,WLAN
9094,Bluetooth
9094,Positioning
9094,Radio
9094,USB
9094,WLAN
8844,Bluetooth
8844,Positioning
8844,Radio
8844,USB
8844,WLAN
8832,Bluetooth
8832,Positioning
8832,Radio
8832,USB
8832,WLAN
8843,Bluetooth
8843,Positioning
8843,Radio
8843,USB
8843,WLAN
8569,Bluetooth
8569,Positioning
8569,Radio
8569,USB
8569,WLAN
8377,Bluetooth
8377,Positioning
8377,Radio
8377,USB
8377,WLAN
8298,Bluetooth
8298,Positioning
8298,Radio
8298,USB
8298,WLAN
8205,Bluetooth
8205,Positioning
8205,Radio
8205,USB
8205,WLAN
8157,Bluetooth
8157,Positioning
8157,Radio
8157,USB
8157,WLAN
8449,Bluetooth
8449,Positioning
8449,USB
8449,WLAN
8167,Bluetooth
8167,Positioning
8167,Radio
8167,USB
8167,WLAN
8230,Bluetooth
8230,Positioning
8230,USB
8230,WLAN
7776,Bluetooth
7776,Positioning
7776,USB
7776,WLAN
7720,Bluetooth
7720,Positioning
7720,Radio
7720,USB
7720,WLAN
7570,Bluetooth
7570,Positioning
7570,Radio
7570,USB
7570,WLAN
7190,Bluetooth
7190,Positioning
7190,Radio
7190,USB
7190,WLAN
7234,Bluetooth
7234,Positioning
7234,Radio
7234,USB
7234,WLAN
7098,Bluetooth
7098,Infrared port
7098,Positioning
7098,USB
7098,WLAN
7097,Bluetooth
7097,Positioning
7097,USB
7097,WLAN
7096,Bluetooth
7096,Positioning
7096,USB
7096,WLAN
7095,Bluetooth
7095,USB
7095,WLAN
6936,Bluetooth
6936,Infrared port
6936,Positioning
6936,Radio
6936,USB
6936,WLAN
6934,Bluetooth
6934,Positioning
6934,Radio
6934,USB
6934,WLAN
6933,Bluetooth
6933,Positioning
6933,Radio
6933,USB
6933,WLAN
6979,Bluetooth
6979,Positioning
6979,Radio
6979,USB
6979,WLAN
6773,Bluetooth
6773,Positioning
6773,Radio
6773,USB
6773,WLAN
6732,Bluetooth
6732,Positioning
6732,Radio
6732,USB
6732,WLAN
6712,Bluetooth
6712,Radio
6712,USB
6712,WLAN
6657,Bluetooth
6657,Positioning
6657,Radio
6657,USB
6657,WLAN
6656,Bluetooth
6656,Positioning
6656,Radio
6656,USB
6656,WLAN
7154,Bluetooth
7154,Positioning
7154,Radio
7154,USB
7154,WLAN
7153,Bluetooth
7153,Positioning
7153,Radio
7153,USB
7153,WLAN
6655,Bluetooth
6655,Infrared port
6655,Positioning
6655,USB
6655,WLAN
6619,Bluetooth
6619,Positioning
6619,Radio
6619,USB
6619,WLAN
6599,Bluetooth
6599,Positioning
6599,Radio
6599,USB
6599,WLAN
6516,Bluetooth
6516,Positioning
6516,Radio
6516,USB
6516,WLAN
6139,Bluetooth
6139,Positioning
