device_id,type,type_specific,size_inch,size_cm2,screen_body_ratio,resolution_pixel,resolution_p_width,resolution_p_lenght,resolution_ppi,resolution_ratio
11706,TFT,TFT LCD,5.5,78.1,74.0,720 x 1440,720.0,1440.0,293.0,18:9
10981,IPS,IPS LCD,6.1,91.3,78.1,720 x 1560,720.0,1560.0,282.0,5:9
10980,TFT,TFT LCD,5.0,64.5,71.4,480 x 960,480.0,960.0,215.0,18:9
10679,IPS,IPS LCD,6.52,102.6,82.0,720 x 1600,720.0,1600.0,269.0,20:9
10680,IPS,IPS LCD,6.52,102.6,82.0,720 x 1600,720.0,1600.0,269.0,20:9
10682,IPS,IPS LCD,6.1,91.3,78.6,720 x 1560,720.0,1560.0,282.0,5:9
11659,IPS,IPS LCD,6.52,102.6,82.3,720 x 1600,720.0,1600.0,269.0,20:9
10618,IPS,IPS LCD,6.22,96.6,80.7,720 x 1520,720.0,1520.0,270.0,19:9
10490,IPS,IPS LCD,6.52,102.6,82.9,720 x 1600,720.0,1600.0,269.0,20:9
10016,IPS,IPS LCD,6.22,96.6,81.6,720 x 1520,720.0,1520.0,270.0,19:9
10017,IPS,IPS LCD,6.22,96.6,81.6,720 x 1520,720.0,1520.0,270.0,19:9
10018,IPS,IPS LCD,6.22,96.6,81.3,720 x 1520,720.0,1520.0,270.0,19:9
10019,IPS,IPS LCD,5.5,78.1,74.6,720 x 1440,720.0,1440.0,293.0,18:9
10042,IPS,IPS LCD,6.7,115.8,79.7,720 x 1440,720.0,1440.0,240.0,18:9
9842,IPS,IPS LCD,6.52,102.6,82.1,720 x 1600,720.0,1600.0,269.0,20:9
9843,IPS,IPS LCD,5.5,78.1,72.5,480 x 960,480.0,960.0,195.0,18:9
10108,IPS,IPS LCD,8.0,185.6,70.9,800 x 1280,800.0,1280.0,189.0,16:10
9837,TFT,TN TFT LCD,7.0,137.9,62.2,600 x 1024,600.0,1024.0,170.0,16:9
9510,IPS,IPS LCD,5.5,78.1,77.5,720 x 1440,720.0,1440.0,293.0,18:9
9511,IPS,IPS LCD,5.0,64.5,72.3,480 x 960,480.0,960.0,215.0,18:9
9985,TFT,TFT LCD,5.0,64.5,71.4,480 x 960,480.0,960.0,215.0,18:9
9574,IPS,IPS LCD,5.0,68.9,67.2,480 x 854,480.0,854.0,196.0,16:9
9291,IPS,IPS LCD,6.0,93.8,77.1,1080 x 2180,1080.0,2180.0,402.0,18:9
9012,IPS,IPS LCD,5.7,83.8,77.4,720 x 1440,720.0,1440.0,282.0,18:9
9004,IPS,IPS LCD,6.0,92.9,75.5,1080 x 2160,1080.0,2160.0,402.0,18:9
9084,IPS,IPS LCD,5.7,83.8,76.3,720 x 1440,720.0,1440.0,282.0,18:9
9085,IPS,IPS LCD,5.5,78.1,77.1,720 x 1440,720.0,1440.0,293.0,18:9
9086,IPS,IPS LCD,5.3,72.5,69.6,480 x 960,480.0,960.0,203.0,18:9
8989,IPS,IPS LCD,6.0,92.9,75.9,720 x 1440,720.0,1440.0,268.0,18:9
9093,TFT,TFT,10.1,295.8,74.8,1280 x 800,1280.0,800.0,149.0,16:10
9094,TFT,TFT,7.0,137.9,65.6,600 x 1024,600.0,1024.0,170.0,16:9
8844,IPS,IPS LCD,5.2,74.5,69.7,1080 x 1920,1080.0,1920.0,424.0,16:9
8832,IPS,IPS LCD,5.2,74.9,69.3,1080 x 1920,1080.0,1920.0,423.0,16:9
8843,IPS,IPS LCD,6.0,99.2,76.3,1080 x 1920,1080.0,1920.0,367.0,16:9
8569,IPS,IPS LCD,5.2,74.5,70.8,1080 x 1920,1080.0,1920.0,424.0,16:9
8377,IPS,IPS LCD,5.0,68.9,68.4,720 x 1280,720.0,1280.0,294.0,16:9
8298,IPS,IPS LCD,5.5,83.4,71.8,720 x 1280,720.0,1280.0,267.0,16:9
8205,AMOLED,Super AMOLED,5.0,68.9,68.7,720 x 1280,720.0,1280.0,294.0,16:9
8157,IPS,IPS LCD,5.0,68.9,67.3,480 x 854,480.0,854.0,196.0,16:9
8449,AMOLED,AMOLED,5.5,83.4,71.9,1080 x 1920,1080.0,1920.0,401.0,16:9
7896,AMOLED,AMOLED,5.5,83.4,71.9,1440 x 2560,1440.0,2560.0,534.0,16:9
7897,IPS,IPS LCD,5.2,74.5,69.9,1080 x 1920,1080.0,1920.0,424.0,16:9
8167,IPS,IPS LCD,6.0,99.2,68.2,540 x 960,540.0,960.0,184.0,16:9
8230,TFT,TFT,5.5,83.4,70.6,720 x 1280,720.0,1280.0,267.0,16:9
7776,TFT,TFT,5.0,68.9,68.3,480 x 854,480.0,854.0,196.0,16:9
7720,IPS,IPS LCD,5.5,83.4,70.6,720 x 1280,720.0,1280.0,267.0,16:9
7570,IPS,IPS LCD,5.0,68.9,67.1,720 x 1280,720.0,1280.0,294.0,16:9
