device_id,internal_memory
11706,32GB
10981,32GB
10980,16GB
10980,8GB
10679,64GB
10680,32GB
10682,32GB
11659,32GB
11659,64GB
10618,128GB
10618,32GB
10618,64GB
10490,128GB
10490,64GB
10016,64GB
10017,32GB
10018,32GB
10019,16GB
10019,32GB
10042,32GB
9842,128GB
9842,64GB
9843,16GB
10108,16GB
10108,32GB
9837,16GB
9510,16GB
9511,8GB
9985,16GB
9985,8GB
9574,16GB
9291,32GB
9012,16GB
9012,32GB
9004,16GB
9004,32GB
9084,16GB
9084,32GB
9085,16GB
9086,16GB
8989,16GB
9093,16GB
9094,8GB
8844,32GB
8832,16GB
8843,32GB
8569,32GB
8377,16GB
8298,16GB
8205,16GB
8157,8GB
8449,64GB
7896,32GB
7897,16GB
8167,8GB
8230,8GB
7776,8GB
7720,16GB
7570,16GB
7190,16GB
7234,4GB
7081,16GB
7081,32GB
7080,16GB
7080,8GB
7098,4GB
7097,4GB
7096,4GB
7095,4GB
6936,8GB
6934,4GB
6933,4GB
6979,512MB
6774,4GB
6773,4GB
6732,4GB
6712,256MB
6657,8GB
6656,8GB
7154,4GB
7153,4GB
6655,8GB
6654,16GB
6654,32GB
6654,8GB
6653,16GB
6619,4GB
6599,4GB
6516,4GB
6153,8GB
6152,4GB
6151,4GB
6139,4GB
6138,4GB
6134,8GB
6130,16GB
6130,8GB
6135,4GB
6135,8GB
6131,4GB
6131,8GB
6132,4GB
5937,16GB
5937,32GB
5938,4GB
5741,4GB
5740,4GB
5693,4GB
5692,4GB
5687,4GB
5691,4GB
5671,16GB
5672,16GB
5672,8GB
5668,4GB
5669,4GB
5669,8GB
5449,4GB
5681,512MB
5318,16GB
5318,8GB
5319,160MB
5319,512MB
5332,4GB
5231,16GB
5230,13.3GB
5230,4GB
5229,512MB
5228,4GB
5242,4GB
5226,4GB
5218,4GB
5139,512MB
5110,4GB
5165,4GB
5080,1GB
4663,512MB
4661,2GB
4659,512MB
4528,512MB
12558,128GB
12558,256GB
12558,512GB
12559,128GB
12559,256GB
12559,512GB
11773,128GB
11773,1TB
11773,256GB
11773,512GB
11860,128GB
11860,1TB
11860,256GB
11860,512GB
11862,128GB
11862,256GB
11862,512GB
11861,128GB
11861,256GB
11861,512GB
11410,128GB
11410,256GB
11410,64GB
11089,128GB
11089,1TB
11089,256GB
11089,512GB
11102,128GB
11102,1TB
11102,256GB
11102,512GB
11103,128GB
11103,256GB
11103,512GB
11104,128GB
11104,256GB
11104,512GB
10237,128GB
10237,256GB
10237,512GB
10508,128GB
10508,256GB
10508,512GB
10509,128GB
10509,256GB
10509,64GB
10510,128GB
10510,256GB
10510,64GB
10170,128GB
10170,256GB
10170,64GB
9846,256GB
9846,512GB
9846,64GB
9847,256GB
9847,512GB
9847,64GB
9848,128GB
9848,256GB
9848,64GB
9319,256GB
9319,512GB
9319,64GB
9318,256GB
9318,512GB
9318,64GB
9320,128GB
9320,256GB
9320,64GB
8858,256GB
8858,64GB
8131,128GB
8131,256GB
8131,64GB
8573,128GB
8573,256GB
8573,64GB
8065,128GB
8065,256GB
8065,32GB
8064,128GB
8064,256GB
8064,32GB
7969,128GB
7969,16GB
7969,32GB
7969,64GB
7243,128GB
7243,16GB
7243,32GB
7243,64GB
7242,128GB
