device_id,network
11706,GSM 
11706, HSPA 
11706, LTE
10981,GSM 
10981, HSPA 
10981, LTE
10980,GSM 
10980, HSPA 
10980, LTE
10679,GSM 
10679, HSPA 
10679, LTE
10680,GSM 
10680, HSPA 
10680, LTE
10682,GSM 
10682, HSPA 
10682, LTE
11659,GSM 
11659, HSPA 
11659, LTE
10618,GSM 
10618, HSPA 
10618, LTE
10490,GSM 
10490, HSPA 
10490, LTE
10016,GSM 
10016, HSPA 
10016, LTE
10017,GSM 
10017, HSPA 
10017, LTE
10018,GSM 
10018, HSPA 
10018, LTE
10019,GSM 
10019, HSPA 
10019, LTE
10042,GSM 
10042, HSPA 
10042, LTE
9842,GSM 
9842, HSPA 
9842, LTE
9843,GSM 
9843, HSPA 
9843, LTE
10108,LTE
9837,No cellular connectivity
9510,GSM 
9510, HSPA 
9510, LTE
9511,GSM 
9511, HSPA
9985,GSM 
9985, HSPA 
9985, LTE
9574,GSM 
9574, HSPA 
9574, LTE
9291,GSM 
9291, HSPA 
9291, LTE
9012,GSM 
9012, HSPA 
9012, LTE
9004,GSM 
9004, HSPA 
9004, LTE
9084,GSM 
9084, HSPA 
9084, LTE
9085,GSM 
9085, HSPA 
9085, LTE
9086,GSM 
9086, HSPA 
9086, LTE
8989,GSM 
8989, HSPA 
8989, LTE
9093,No cellular connectivity
9094,No cellular connectivity
8844,GSM 
8844, HSPA 
8844, LTE
8832,GSM 
8832, HSPA 
8832, LTE
8843,GSM 
8843, HSPA 
8843, LTE
8569,GSM 
8569, HSPA 
8569, LTE
8377,GSM 
8377, HSPA 
8377, LTE
8298,GSM 
8298, HSPA 
8298, LTE
8205,GSM 
8205, HSPA 
8205, LTE
8157,GSM 
8157, HSPA
8449,GSM 
8449, HSPA 
8449, LTE
7896,GSM 
7896, HSPA 
7896, LTE
7897,GSM 
7897, HSPA 
7897, LTE
8167,GSM 
8167, HSPA
8230,GSM 
8230, HSPA 
8230, LTE
7776,GSM 
7776, HSPA 
7776, LTE
7720,GSM 
7720, HSPA 
7720, LTE
7570,GSM 
7570, HSPA 
7570, LTE
7190,GSM 
7190, HSPA 
7190, LTE
7234,GSM 
7234, HSPA 
7234, LTE
7081,GSM 
7081, HSPA 
7081, LTE
7080,GSM 
7080, HSPA 
7080, LTE
7098,GSM 
7098, HSPA
7097,GSM 
7097, HSPA 
7097, LTE
7096,GSM 
7096, HSPA
7095,No cellular connectivity
6936,GSM 
6936, HSPA 
6936, LTE
6934,GSM 
6934, HSPA 
6934, LTE
6933,GSM 
6933, HSPA 
6933, LTE
6979,GSM 
6979, HSPA
6774,GSM 
6774, HSPA
6773,GSM 
6773, HSPA
6732,GSM 
6732, HSPA
6712,GSM
6657,GSM 
6657, HSPA 
6657, LTE
6656,GSM 
6656, HSPA 
6656, LTE
7154,GSM 
7154, HSPA
7153,GSM 
7153, HSPA
6655,GSM 
6655, HSPA 
6655, LTE
6654,GSM 
6654, HSPA 
6654, LTE
6653,GSM 
6653, HSPA 
6653, LTE
6619,GSM 
6619, HSPA
6599,GSM 
6599, HSPA
6516,GSM 
6516, HSPA
6153,GSM 
6153, HSPA 
6153, LTE
6152,GSM 
6152, HSPA 
6152, LTE
6151,GSM 
6151, HSPA 
6151, LTE
6139,GSM 
6139, HSPA
6138,GSM 
6138, HSPA
6134,GSM 
6134, HSPA 
6134, LTE
6130,GSM 
6130, HSPA
6135,GSM 
6135, HSPA 
6135, LTE
6131,GSM 
6131, HSPA
6132,GSM 
6132, HSPA
5937,GSM 
5937, HSPA
5938,GSM 
5938, HSPA
5741,GSM 
5741, HSPA
5740,GSM 
5740, HSPA
5693,GSM 
5693, HSPA
5692,GSM 
5692, HSPA
5687,GSM 
5687, HSPA
5691,GSM 
5691, HSPA
5671,GSM 
5671, HSPA
5672,GSM 
5672, HSPA
5668,GSM 
5668, HSPA 
5668, LTE
5669,GSM 
5669, HSPA
5449,No cellular connectivity
5681,GSM 
5681, HSPA
5318,GSM 
5318, HSPA
5319,GSM 
5319, HSPA
5332,GSM 
5332, HSPA
5231,GSM 
5231, HSPA
5230,GSM 
5230, HSPA
5229,GSM 
5229, HSPA
5228,GSM 
5228, HSPA
5242,GSM 
5242, HSPA
5226,GSM 
5226, HSPA 
5226, LTE
5218,GSM 
5218, HSPA
5139,GSM 
5139, HSPA
5110,GSM 
5110, HSPA
5165,GSM 
5165, HSPA
5080,CDMA 
5080, EVDO
4663,GSM 
4663, HSPA
4661,GSM 
4661, HSPA
4659,GSM 
4659, HSPA
4528,GSM 
4528, HSPA
12558,GSM 
12558, CDMA 
12558, HSPA 
12558, EVDO 
12558, LTE 
12558, 5G
12559,GSM 
12559, CDMA 
12559, HSPA 
12559, EVDO 
12559, LTE 
12559, 5G
11773,GSM 
11773, CDMA 
11773, HSPA 
11773, EVDO 
11773, LTE 
11773, 5G
11860,GSM 
11860, CDMA 
11860, HSPA 
11860, EVDO 
11860, LTE 
11860, 5G
11862,GSM 
11862, CDMA 
11862, HSPA 
11862, EVDO 
11862, LTE 
11862, 5G
11861,GSM 
11861, CDMA 
11861, HSPA 
11861, EVDO 
11861, LTE 
11861, 5G
11410,GSM 
11410, CDMA 
11410, HSPA 
11410, EVDO 
11410, LTE 
11410, 5G
11089,GSM 
11089, CDMA 
11089, HSPA 
11089, EVDO 
11089, LTE 
11089, 5G
11102,GSM 
11102, CDMA 
11102, HSPA 
11102, EVDO 
11102, LTE 
11102, 5G
11103,GSM 
11103, CDMA 
11103, HSPA 
11103, EVDO 
11103, LTE 
11103, 5G
11104,GSM 
11104, CDMA 
11104, HSPA 
11104, EVDO 
11104, LTE 
11104, 5G
10237,GSM 
10237, CDMA 
10237, HSPA 
10237, EVDO 
10237, LTE 
10237, 5G
10508,GSM 
10508, CDMA 
10508, HSPA 
10508, EVDO 
10508, LTE 
10508, 5G
10509,GSM 
10509, CDMA 
10509, HSPA 
10509, EVDO 
10509, LTE 
10509, 5G
10510,GSM 
10510, CDMA 
10510, HSPA 
10510, EVDO 
10510, LTE 
10510, 5G
10170,GSM 
10170, CDMA 
10170, HSPA 
10170, EVDO 
10170, LTE
9846,GSM 
9846, CDMA 
9846, HSPA 
9846, EVDO 
9846, LTE
9847,GSM 
9847, CDMA 
9847, HSPA 
9847, EVDO 
9847, LTE
9848,GSM 
9848, CDMA 
9848, HSPA 
9848, EVDO 
9848, LTE
9319,GSM 
9319, CDMA 
9319, HSPA 
9319, EVDO 
9319, LTE
9318,GSM 
9318, CDMA 
9318, HSPA 
9318, EVDO 
9318, LTE
9320,GSM 
9320, CDMA 
9320, HSPA 
9320, EVDO 
9320, LTE
8858,GSM 
8858, HSPA 
8858, LTE
8131,GSM 
8131, HSPA 
8131, LTE
8573,GSM 
8573, HSPA 
8573, LTE
8065,GSM 
8065, CDMA 
8065, HSPA 
8065, EVDO 
8065, LTE
8064,GSM 
