device_id,ram
11706,2GB
10981,2GB
10980,1GB
10679,4GB
10680,3GB
10682,2GB
11659,2GB
10618,2GB
10618,3GB
10618,4GB
10490,4GB
10490,6GB
10016,4GB
10017,3GB
10018,2GB
10019,2GB
10042,3GB
9842,4GB
9842,6GB
9843,1GB
9843,2GB
9843,3GB
10108,1GB
10108,2GB
10108,3GB
9837,1.5GB
9510,2GB
9511,1GB
9985,1GB
9574,2GB
9291,2GB
9012,2GB
9012,3GB
9004,2GB
9084,2GB
9084,3GB
9085,2GB
9086,1GB
9086,2GB
8989,1GB
9093,1GB
9094,1GB
8844,3GB
8832,3GB
8843,3GB
8569,3GB
8377,2GB
8298,2GB
8205,2GB
8157,1GB
8449,4GB
7896,3GB
7897,2GB
7897,3GB
8167,1GB
8230,1GB
7776,1GB
7720,2GB
7570,2GB
7190,2GB
7234,1GB
7081,2GB
7080,1.5GB
7098,1GB
7097,1GB
7096,512MB
7095,512MB
6936,1GB
6934,1GB
6934,512MB
6933,512MB
6979,256MB
6774,512MB
6773,512MB
6732,1GB
6712,128MB
6657,1GB
6656,1GB
7154,1GB
7153,512MB
6655,1GB
6654,2GB
6653,2GB
6619,512MB
6599,512MB
6516,512MB
6153,1GB
6152,1GB
6151,1GB
6139,512MB
6138,512MB
6134,1GB
6130,1GB
6135,1GB
6131,1GB
6132,512MB
5937,2GB
5938,1GB
5741,1GB
5740,512MB
5693,1GB
5693,512MB
5692,512MB
5687,512MB
5691,512MB
5671,1GB
5672,2GB
5668,1GB
5669,512MB
5449,1GB
5681,256MB
5318,2GB
5319,256MB
5332,512MB
5231,1GB
5230,1GB
5229,256MB
5228,512MB
5242,1GB
5242,512MB
5226,1GB
5218,1GB
5139,512MB
5110,1GB
5165,1GB
5080,512MB
4663,256MB
4661,512MB
4659,256MB
4528,256MB
12558,6GB
12559,6GB
11773,6GB
11860,6GB
11862,6GB
11861,6GB
11410,4GB
11089,6GB
11102,6GB
11103,4GB
11104,4GB
10237,6GB
10508,6GB
10509,4GB
10510,4GB
10170,3GB
9846,4GB
9847,4GB
9848,4GB
9319,4GB
9318,4GB
9320,3GB
8858,3GB
8131,3GB
8573,2GB
8065,3GB
8064,2GB
7969,2GB
7243,2GB
7242,2GB
6665,1GB
6378,1GB
5685,1GB
5690,1GB
5070,512MB
5061,512MB
4910,1GB
4212,512MB
3275,512MB
3716,512MB
12380,16GB
12380,8GB
11656,16GB
11656,6GB
11656,8GB
10892,8GB
10893,12GB
10893,16GB
10893,6GB
10893,8GB
10393,8GB
10379,6GB
10379,8GB
10296,12GB
10296,16GB
10296,8GB
10328,12GB
10328,8GB
9770,12GB
9770,8GB
9698,12GB
9698,6GB
9698,8GB
9634,3GB
9634,4GB
9633,3GB
9633,4GB
9410,3GB
9410,4GB
9410,6GB
9373,3GB
9372,2GB
9224,8GB
9194,1GB
9194,2GB
9173,3GB
9173,4GB
9173,6GB
9096,4GB
9096,6GB
9096,8GB
9061,4GB
9061,6GB
9068,3GB
9068,4GB
9097,2GB
9097,3GB
8953,2GB
8953,3GB
8953,4GB
8866,4GB
8783,6GB
8782,4GB
8782,6GB
8892,2GB
8862,3GB
8808,3GB
8808,4GB
8784,4GB
8811,2GB
8811,3GB
8814,2GB
8814,3GB
8810,3GB
8749,3GB
8801,3GB
8681,2GB
8579,2GB
8550,3GB
8502,6GB
8502,8GB
8509,3GB
8509,4GB
8503,1GB
8493,4GB
8467,2GB
8425,2GB
8425,3GB
8425,4GB
8384,4GB
8218,4GB
8207,2GB
8207,3GB
8206,2GB
8206,4GB
8197,3GB
8197,4GB
8156,2GB
8156,3GB
8130,3GB
8130,4GB
8129,4GB
8129,6GB
8106,3GB
8106,4GB
8111,2GB
8111,3GB
8262,1GB
8097,1GB
8095,2GB
8045,2GB
8048,1GB
7866,2GB
