Device_id,SIM Type,SIM Num
11706,Nano,Single
11706,Nano,Dual
10981,Nano,Single
10981,Nano,Dual
10980,Nano,Single
10980,Nano,Dual
10679,Nano,Single
10679,Nano,Dual
10680,Nano,Single
10680,Nano,Dual
10682,Nano,Single
10682,Nano,Dual
11659,Nano,Single
11659,Nano,Dual
10618,Nano,Dual
10490,Nano,Dual
10016,Nano,Dual
10017,Nano,Dual
10018,Nano,Dual
10019,Nano,Dual
9842,Nano,Single
9842,Nano,Dual
9843,Nano,Single
9843,Nano,Dual
9510,Nano,Single
9510,Nano,Dual
9511,Nano,Single
9511,Nano,Dual
9985,Nano,Single
9985,Nano,Dual
9012,Nano,Single
9012,Nano,Dual
9004,Nano,Single
9004,Nano,Dual
9084,Nano,Single
9084,Nano,Dual
9085,Nano,Single
9085,Nano,Dual
9086,Nano,Single
9086,Nano,Dual
8377,Nano,Single
8377,Nano,Dual
8205,Nano,Dual
8205,Micro,Dual
7896,Nano,Dual
7897,Nano,Dual
8167,Micro,Dual
8230,Micro,Single
8230,Micro,Dual
7776,Micro,Single
7776,Micro,Dual
7570,Micro,Dual
7081,Micro,Single
7081,Micro,Dual
7080,Micro,Single
7080,Micro,Dual
6934,Micro,Single
6934,Micro,Dual
6934,Mini,Single
6934,Mini,Dual
6933,Micro,Single
6933,Micro,Dual
6933,Mini,Single
6933,Mini,Dual
6979,Mini,Single
6979,Mini,Dual
6657,Micro,Dual
6619,Mini,Single
6619,Mini,Dual
6516,Mini,Single
6516,Mini,Dual
6131,Micro,Single
6131,Micro,Dual
5937,Micro,Dual
5938,Micro,Dual
5693,Micro,Single
5693,Micro,Dual
5692,Mini,Single
5692,Mini,Dual
5687,Mini,Single
5687,Mini,Dual
5691,Mini,Single
5691,Mini,Dual
5672,Micro,Single
5672,Micro,Dual
5669,Micro,Dual
5681,Mini,Single
5681,Mini,Dual
5318,Micro,Single
5318,Micro,Dual
5332,Mini,Single
5332,Mini,Dual
5230,Micro,Single
5230,Micro,Dual
5242,Mini,Single
5242,Mini,Dual
5110,Mini,Dual
4528,Mini,Dual
12558,Nano,Dual
12558,eSIM,Dual
12559,Nano,Dual
12559,eSIM,Dual
11773,Nano,Dual
11773,eSIM,Dual
11860,Nano,Dual
11860,eSIM,Dual
11862,Nano,Dual
11862,eSIM,Dual
11861,Nano,Dual
11861,eSIM,Dual
11089,Nano,Dual
11089,eSIM,Dual
11102,Nano,Dual
11102,eSIM,Dual
11103,Nano,Dual
11103,eSIM,Dual
11104,Nano,Dual
11104,eSIM,Dual
10237,Nano,Dual
10237,eSIM,Dual
10508,Nano,Dual
10508,eSIM,Dual
10509,Nano,Dual
10509,eSIM,Dual
10510,Nano,Dual
10510,eSIM,Dual
9846,Nano,Dual
9846,eSIM,Dual
9847,Nano,Dual
9847,eSIM,Dual
9848,Nano,Dual
9848,eSIM,Dual
9319,Nano,Dual
9319,eSIM,Dual
9320,Nano,Dual
9320,eSIM,Dual
12380,Nano,Dual
11656,Nano,Dual
10892,Nano,Dual
10893,Nano,Dual
10393,Nano,Dual
10379,Nano,Dual
10296,Nano,Dual
10328,Nano,Dual
9770,Nano,Dual
9698,Nano,Dual
9634,Nano,Dual
9633,Nano,Dual
9410,Nano,Dual
9373,Nano,Dual
9372,Nano,Dual
9224,Nano,Dual
9194,Nano,Dual
9173,Nano,Dual
9096,Nano,Dual
9061,Nano,Dual
9068,Nano,Dual
9097,Nano,Dual
8953,Nano,Dual
8866,Nano,Dual
8783,Nano,Dual
8782,Nano,Dual
8892,Nano,Dual
8862,Nano,Dual
8808,Nano,Dual
8784,Nano,Dual
8811,Nano,Dual
8811,Micro,Dual
8814,Nano,Dual
8810,Nano,Dual
8810,Micro,Dual
8749,Nano,Dual
8681,Micro,Dual
8579,Nano,Dual
8550,Nano,Dual
8550,Micro,Dual
8502,Nano,Dual
8509,Nano,Dual
8503,Micro,Dual
8425,Nano,Dual
8384,Nano,Dual
8384,Micro,Dual
8207,Nano,Dual
8207,Micro,Dual
8206,Micro,Dual
8197,Nano,Dual
8197,Micro,Dual
8130,Nano,Dual
8129,Nano,Dual
8129,Micro,Dual
8106,Nano,Dual
8106,Micro,Dual
8111,Micro,Dual
