device_id,s_type
11706,Nano
10981,Nano
10980,Nano
10679,Nano
10680,Nano
10682,Nano
11659,Nano
10618,Nano
10490,Nano
10016,Nano
10017,Nano
10018,Nano
10019,Nano
10042,Nano
9842,Nano
9843,Nano
10108,Micro
9510,Nano
9511,Nano
9985,Nano
9574,Nano
9291,Nano
9012,Nano
9004,Nano
9084,Nano
9085,Nano
9086,Nano
8844,Nano
8832,Nano
8569,Nano
8377,Nano
8298,Nano
8205,Nano
8205,Micro
8157,Micro
8449,Nano
7896,Nano
7897,Nano
8167,Micro
8230,Micro
7776,Micro
7720,Micro
7570,Micro
7234,Micro
7081,Micro
7080,Micro
7098,Micro
7097,Micro
7096,Micro
6936,Micro
6934,Micro
6934,Mini
6933,Micro
6933,Mini
6979,Mini
6774,Micro
6773,Mini
6732,Micro
6657,Micro
6656,Micro
7154,Micro
7153,Micro
6655,Micro
6654,Micro
6653,Micro
6619,Mini
6599,Micro
6516,Mini
6152,Micro
6151,Micro
6139,Micro
6138,Micro
6134,Micro
6135,Micro
6131,Micro
5937,Micro
5938,Micro
5741,Micro
5740,Mini
5693,Micro
5692,Mini
5687,Mini
5691,Mini
5671,Micro
5672,Micro
5668,Micro
5669,Micro
5681,Mini
5318,Micro
5319,Mini
5332,Mini
5231,Micro
5230,Micro
5229,Mini
5228,Mini
5242,Mini
5226,Micro
5218,Micro
5139,Mini
5110,Mini
5165,Mini
5080,Mini
4663,Mini
4661,Mini
4659,Mini
4528,Mini
12558,Nano
12558,eSIM
12559,Nano
12559,eSIM
11773,Nano
11773,eSIM
11860,Nano
11860,eSIM
11862,Nano
11862,eSIM
11861,Nano
11861,eSIM
11410,Nano
11410,eSIM
11089,Nano
11089,eSIM
11102,Nano
11102,eSIM
11103,Nano
11103,eSIM
11104,Nano
11104,eSIM
10237,Nano
10237,eSIM
10508,Nano
10508,eSIM
10509,Nano
10509,eSIM
10510,Nano
10510,eSIM
10170,Nano
10170,eSIM
9846,Nano
9846,eSIM
9847,Nano
9847,eSIM
9848,Nano
9848,eSIM
9319,Nano
9319,eSIM
9318,Nano
9318,eSIM
9320,Nano
9320,eSIM
8858,Nano
8131,Nano
8573,Nano
8065,Nano
8064,Nano
7969,Nano
7243,Nano
7242,Nano
6665,Nano
6378,Nano
5685,Nano
5690,Nano
5061,Nano
4910,Nano
4212,Micro
3275,Micro
3716,Micro
12380,Nano
11656,Nano
10892,Nano
10893,Nano
10393,Nano
10379,Nano
10296,Nano
10328,Nano
9770,Nano
9698,Nano
9634,Nano
9633,Nano
9410,Nano
9373,Nano
9372,Nano
9224,Nano
9194,Nano
9173,Nano
9096,Nano
9061,Nano
9068,Nano
9097,Nano
8953,Nano
8866,Nano
8783,Nano
8782,Nano
8892,Nano
8862,Nano
8808,Nano
8784,Nano
8811,Nano
8811,Micro
8814,Nano
8810,Nano
8810,Micro
8749,Nano
8801,Nano
8681,Micro
8579,Nano
8550,Nano
8550,Micro
8502,Nano
8509,Nano
8503,Micro
8493,Micro
8425,Nano
8384,Nano
8384,Micro
8207,Nano
8207,Micro
8206,Micro
8197,Nano
8197,Micro
8130,Nano
8129,Nano
8129,Micro
8106,Nano
8106,Micro
8111,Micro
8262,Nano
8262,Micro
8097,Micro
8095,Micro
8045,Micro
8048,Micro
7866,Micro
7733,Micro
7577,Micro
7368,Micro
7476,Micro
7475,Micro
