device_id,sensor
11706,accelerometer
10981,fingerprint
10981,accelerometer
10981,proximity
10980,accelerometer
10980,proximity
10679,fingerprint
10679,accelerometer
10679,proximity
10679,compass
10680,fingerprint
10680,accelerometer
10680,proximity
10680,compass
10682,fingerprint
10682,accelerometer
10682,proximity
11659,fingerprint
11659,accelerometer
11659,proximity
11659,compass
10618,fingerprint
10618,accelerometer
10618,proximity
10490,fingerprint
10490,accelerometer
10490,proximity
10490,compass
10016,fingerprint
10016,accelerometer
10016,proximity
10016,compass
10017,fingerprint
10017,accelerometer
10017,proximity
10017,compass
10018,fingerprint
10018,accelerometer
10018,proximity
10019,accelerometer
10019,proximity
10042,fingerprint
10042,accelerometer
10042,proximity
10042,compass
9842,fingerprint
9842,accelerometer
9842,proximity
9843,fingerprint - market dependant
9843,accelerometer
9843,proximity
10108,accelerometer
9837,accelerometer
9510,fingerprint
9510,accelerometer
9510,proximity
9511,accelerometer
9511,proximity
9985,accelerometer
9985,proximity
9574,accelerometer
9574,proximity
9291,fingerprint
9291,accelerometer
9291,gyro
9291,proximity
9291,compass
9012,fingerprint
9012,accelerometer
9012,proximity
9012,compass
9004,fingerprint
9004,accelerometer
9004,gyro
9004,proximity
9004,compass
9084,fingerprint
9084,accelerometer
9084,proximity
9084,compass
9085,fingerprint
9085,accelerometer
9085,proximity
9085,compass
9086,fingerprint
9086,accelerometer
9086,proximity
8989,fingerprint
8989,accelerometer
8989,proximity
9093,accelerometer
9094,accelerometer
8844,fingerprint
8844,accelerometer
8844,gyro
8844,proximity
8844,compass
8832,fingerprint
8832,accelerometer
8832,gyro
8832,proximity
8832,compass
8843,fingerprint
8843,accelerometer
8843,proximity
8843,compass
8569,fingerprint
8569,accelerometer
8569,gyro
8569,proximity
8569,compass
8377,fingerprint
8377,accelerometer
8377,proximity
8377,compass
8298,accelerometer
8298,proximity
8298,compass
8205,accelerometer
8205,proximity
8205,compass
8157,accelerometer
8449,fingerprint
8449,accelerometer
8449,gyro
8449,proximity
8449,compass
7896,accelerometer
7896,gyro
7896,proximity
7896,compass
7897,accelerometer
7897,gyro
7897,proximity
7897,compass
8167,accelerometer
8167,proximity
8230,accelerometer
7776,accelerometer
7720,accelerometer
7720,proximity
7720,compass
7570,accelerometer
7570,proximity
7190,accelerometer
7190,proximity
7190,compass
7234,accelerometer
7234,proximity
7234,compass
7081,accelerometer
7081,proximity
7081,compass
7080,accelerometer
7080,proximity
7080,compass
7098,accelerometer
7097,accelerometer
7096,accelerometer
7095,accelerometer
