device_id,sound
11706,Jack
11706,Loudspeaker
10981,Jack
10981,Loudspeaker
10980,Jack
10980,Loudspeaker
10679,Jack
10679,Loudspeaker
10680,Jack
10680,Loudspeaker
10682,Jack
10682,Loudspeaker
11659,Jack
11659,Loudspeaker
10618,Jack
10618,Loudspeaker
10490,Jack
10490,Loudspeaker
10016,Jack
10016,Loudspeaker
10017,Jack
10017,Loudspeaker
10018,Jack
10018,Loudspeaker
10019,Jack
10019,Loudspeaker
10042,Jack
10042,Loudspeaker
9842,Jack
9842,Loudspeaker
9843,Jack
9843,Loudspeaker
10108,Jack
10108,Loudspeaker
9837,Jack
9837,Loudspeaker
9510,Jack
9510,Loudspeaker
9511,Jack
9511,Loudspeaker
9985,Jack
9985,Loudspeaker
9574,Jack
9574,Loudspeaker
9291,Jack
9291,Loudspeaker
9012,Jack
9012,Loudspeaker
9004,Jack
9004,Loudspeaker
9084,Jack
9084,Loudspeaker
9085,Jack
9085,Loudspeaker
9086,Jack
9086,Loudspeaker
8989,Jack
8989,Loudspeaker
9093,Jack
9093,Loudspeaker
9094,Jack
9094,Loudspeaker
8844,Jack
8844,Loudspeaker
8832,Jack
8832,Loudspeaker
8843,Jack
8843,Loudspeaker
8569,Jack
8569,Loudspeaker
8377,Jack
8377,Loudspeaker
8298,Jack
8298,Loudspeaker
8205,Jack
8205,Loudspeaker
8157,Jack
8157,Loudspeaker
8449,Jack
8449,Loudspeaker
7896,Jack
7896,Loudspeaker
7897,Jack
7897,Loudspeaker
8167,Jack
8167,Loudspeaker
8230,Jack
8230,Loudspeaker
7776,Jack
7776,Loudspeaker
7720,Jack
7720,Loudspeaker
7570,Jack
7570,Loudspeaker
7190,Jack
7190,Loudspeaker
7234,Jack
7234,Loudspeaker
7081,Jack
7081,Loudspeaker
7080,Jack
7080,Loudspeaker
7098,Jack
7098,Loudspeaker
7097,Jack
7097,Loudspeaker
7096,Jack
7096,Loudspeaker
7095,Jack
7095,Loudspeaker
6936,Jack
6936,Loudspeaker
6934,Jack
6934,Loudspeaker
6933,Jack
6933,Loudspeaker
6979,Jack
6979,Loudspeaker
6774,Jack
6774,Loudspeaker
6773,Jack
6773,Loudspeaker
6732,Jack
6732,Loudspeaker
6712,Jack
6712,Loudspeaker
6657,Jack
6657,Loudspeaker
6656,Jack
6656,Loudspeaker
7154,Jack
7154,Loudspeaker
7153,Jack
7153,Loudspeaker
6655,Jack
6655,Loudspeaker
6654,Jack
6654,Loudspeaker
6653,Jack
6653,Loudspeaker
6619,Jack
6619,Loudspeaker
6599,Jack
6599,Loudspeaker
6516,Jack
6516,Loudspeaker
6153,Jack
6153,Loudspeaker
6152,Jack
6152,Loudspeaker
6151,Jack
6151,Loudspeaker
6139,Jack
6139,Loudspeaker
6138,Jack
6138,Loudspeaker
6134,Jack
6134,Loudspeaker
6130,Jack
6130,Loudspeaker
6135,Jack
6135,Loudspeaker
6131,Jack
6131,Loudspeaker
6132,Jack
6132,Loudspeaker
5937,Jack
5937,Loudspeaker
5938,Jack
5938,Loudspeaker
5741,Jack
5741,Loudspeaker
5740,Jack
5740,Loudspeaker
5693,Jack
5693,Loudspeaker
5692,Jack
5692,Loudspeaker
5687,Jack
5687,Loudspeaker
5691,Jack
5691,Loudspeaker
5671,Jack
5671,Loudspeaker
5672,Jack
5672,Loudspeaker
5668,Jack
5668,Loudspeaker
5669,Jack
5669,Loudspeaker
5449,Jack
5449,Loudspeaker
5681,Jack
5681,Loudspeaker
5318,Jack
5318,Loudspeaker
5319,Jack
5319,Loudspeaker
5332,Jack
5332,Loudspeaker
5231,0.0
5231,Loudspeaker
5230,Jack
5230,Loudspeaker
5229,Jack
5229,Loudspeaker
5228,Jack
5228,Loudspeaker
5242,Jack
5242,Loudspeaker
5226,Jack
5226,Loudspeaker
5218,Jack
5218,Loudspeaker
5139,Jack
5139,Loudspeaker
5110,Jack
5110,Loudspeaker
5165,Jack
5165,Loudspeaker
5080,Jack
5080,Loudspeaker
4663,Jack
4663,Loudspeaker
4661,Jack
4661,Loudspeaker
4659,Jack
4659,Loudspeaker
4528,Jack
4528,Loudspeaker
12558,0.0
12558,Loudspeaker
12559,0.0
12559,Loudspeaker
11773,0.0
11773,Loudspeaker
11860,0.0
11860,Loudspeaker
11862,0.0
11862,Loudspeaker
11861,0.0
11861,Loudspeaker
11410,0.0
11410,Loudspeaker
11089,0.0
11089,Loudspeaker
11102,0.0
11102,Loudspeaker
11103,0.0
11103,Loudspeaker
11104,0.0
11104,Loudspeaker
10237,0.0
10237,Loudspeaker
10508,0.0
10508,Loudspeaker
10509,0.0
10509,Loudspeaker
10510,0.0
10510,Loudspeaker
10170,0.0
10170,Loudspeaker
9846,0.0
9846,Loudspeaker
9847,0.0
9847,Loudspeaker
9848,0.0
9848,Loudspeaker
9319,0.0
9319,Loudspeaker
9318,0.0
9318,Loudspeaker
9320,0.0
9320,Loudspeaker
8858,0.0
8858,Loudspeaker
8131,0.0
8131,Loudspeaker
8573,0.0
8573,Loudspeaker
8065,0.0
8065,Loudspeaker
8064,0.0
8064,Loudspeaker
7969,Jack
7969,Loudspeaker
7243,Jack
7243,Loudspeaker
7242,Jack
7242,Loudspeaker
6665,Jack
6665,Loudspeaker
6378,Jack
6378,Loudspeaker
5685,Jack
5685,Loudspeaker
5690,Jack
5690,Loudspeaker
5070,Jack
5070,Loudspeaker
5061,Jack
5061,Loudspeaker
4910,Jack
4910,Loudspeaker
4212,Jack
4212,Loudspeaker
3275,Jack
3275,Loudspeaker
3716,Jack
3716,Loudspeaker
12380,Jack
12380,Loudspeaker
11656,Jack
11656,Loudspeaker
10892,0.0
10892,Loudspeaker
10893,Jack
10893,Loudspeaker
10393,0.0
10393,Loudspeaker
10379,0.0
10379,Loudspeaker
10296,0.0
10296,Loudspeaker
10328,0.0
10328,Loudspeaker
9770,Jack
9770,Loudspeaker
9698,Jack
9698,Loudspeaker
9634,Jack
9634,Loudspeaker
9633,Jack
