,Body_Dimensions,Body_SIM,Body_Weight,Display_Resolution,Display_Size,Display_Type,Launch_Announced,Memory_Card slot,Memory_Internal,Name,Network_Technology,Platform_CPU,Platform_OS,Battery_Type,Comms_Bluetooth,Comms_Infrared port,Comms_NFC,Comms_Positioning,Comms_Radio,Comms_USB,Comms_WLAN,Features_Sensors,Main Camera_Dual,Main Camera_Features,Main Camera_Single,Main Camera_Triple,Main Camera_Video,Misc_Price,Selfie camera_Features,Selfie camera_Single,Selfie camera_Video,Sound_3.5mm jack,Sound_Loudspeaker,Selfie camera_Dual,Selfie camera_Triple,Main Camera_Quad,Main Camera_Dual or Triple,Main Camera_Penta,Main Camera_Five,Device_label,Brand
0,146.7 x 71.9 x 10 mm (5.78 x 2.83 x 0.39 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",172 g (6.07 oz),"720 x 1440 pixels, 18:9 ratio (~293 ppi density)","5.5 inches, 78.1 cm2 (~74.0% screen-to-body ratio)",TFT LCD,"2022, May 31",microSDXC (dedicated slot),32GB 2GB RAM,alcatel 1B (2022),GSM / HSPA / LTE,Quad-core 2.0 GHz Cortex-A53,Android 11 (Go edition),,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
1,156.4 x 74.8 x 9.7 mm (6.16 x 2.94 x 0.38 in),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",190 g (6.70 oz),"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)","6.1 inches, 91.3 cm2 (~78.1% screen-to-body ratio)",IPS LCD,"2021, June 25",microSDXC (uses shared SIM slot),32GB 2GB RAM,alcatel 1L Pro (2021),GSM / HSPA / LTE,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),Android 11 (Go edition),,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
2,137.6 x 65.7 x 9.8 mm (5.42 x 2.59 x 0.39 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",134 g (4.73 oz),"480 x 960 pixels, 18:9 ratio (~215 ppi density)","5.0 inches, 64.5 cm2 (~71.4% screen-to-body ratio)",TFT LCD,"2021, June 25",microSDHC (dedicated slot),"8GB 1GB RAM, 16GB 1GB RAM",alcatel 1 (2021),GSM / HSPA / LTE,Quad-core 1.28 GHz Cortex-A53,Android 11 (Go edition),,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
3,165.6 x 75.6 x 8.7 mm (6.52 x 2.98 x 0.34 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",194 g (6.84 oz),"720 x 1600 pixels, 20:9 ratio (~269 ppi density)","6.52 inches, 102.6 cm2 (~82.0% screen-to-body ratio)",IPS LCD,"2021, January 12",microSDXC (only single sim model),64GB 4GB RAM,alcatel 3L (2021),GSM / HSPA / LTE,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),Android 11,,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
4,165.6 x 75.6 x 8.8 mm (6.52 x 2.98 x 0.35 in),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",190 g (6.70 oz),"720 x 1600 pixels, 20:9 ratio (~269 ppi density)","6.52 inches, 102.6 cm2 (~82.0% screen-to-body ratio)",IPS LCD,"2021, January 12",microSDXC (uses shared SIM slot),32GB 3GB RAM,alcatel 1S (2021),GSM / HSPA / LTE,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),Android 11,,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
5,155.9 x 74.5 x 9.9 mm (6.14 x 2.93 x 0.39 in),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",179 g (6.31 oz),"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)","6.1 inches, 91.3 cm2 (~78.6% screen-to-body ratio)",IPS LCD,"2021, January 12",microSDXC (uses shared SIM slot),32GB 2GB RAM,alcatel 1L (2021),GSM / HSPA / LTE,Quad-core 1.8 GHz Cortex-A53,Android 11 (Go edition),,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
6,165.2 x 75.5 x 8.9 mm (6.50 x 2.97 x 0.35 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",190 g (6.70 oz),"720 x 1600 pixels, 20:9 ratio (~269 ppi density)","6.52 inches, 102.6 cm2 (~82.3% screen-to-body ratio)",IPS LCD,"2021, February",microSDXC (dedicated slot),"32GB 2GB RAM, 64GB 2GB RAM",alcatel 1V (2021),GSM / HSPA / LTE,Quad-core 2.0 GHz Cortex-A53,Android 11 (Go edition),,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
7,159.2 x 75.2 x 8.7 mm (6.27 x 2.96 x 0.34 in),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",175 g (6.17 oz),"720 x 1520 pixels, 19:9 ratio (~270 ppi density)","6.22 inches, 96.6 cm2 (~80.7% screen-to-body ratio)",IPS LCD,"2020, October 28",microSDXC (uses shared SIM slot),"32GB 3GB RAM, 64GB 2GB RAM, 128GB 4GB RAM",alcatel 1SE (2020),GSM / HSPA / LTE,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),Android 10,,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
8,107.3 x 55.6 x 19.9 mm (4.22 x 2.19 x 0.78 in),Nano-SIM,133 g (4.69 oz),"240 x 320 pixels, 4:3 ratio (~143 ppi density)","2.8 inches, 24.3 cm2 (~40.7% screen-to-body ratio)",TN TFT LCD,"2021, September",microSDHC (dedicated slot),4GB 512MB RAM,alcatel Go Flip 4,GSM / HSPA / LTE,Quad-core 1.3 GHz Cortex-A53,KaiOS 3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
9,104.9 x 53.1 x 20.1 mm (4.13 x 2.09 x 0.79 in),Nano-SIM,118 g (4.16 oz),"240 x 320 pixels, 4:3 ratio (~143 ppi density)","2.8 inches, 24.3 cm2 (~43.6% screen-to-body ratio)",TN TFT LCD,"2019, September 19",microSDHC (dedicated slot),4GB 512MB RAM,alcatel Go Flip 3,GSM / CDMA / HSPA / LTE,Quad-core 1.1 GHz Cortex-A7,KaiOS 2.5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,phone,alcatel
